844424932806112-643-f.m4a	किन्तु एषः यल्लाप्रगडसुब्बरावः जीवनस्य बहुभागम् अमेरिकादेशे एव अयापयत्
844424932812543-643-f.m4a	तस्य मनः अपि इन्द्रियैः सह युक्तं सत् बुद्धिं विचलितां कर्तुं न प्रभवति
844424932880843-1102-f.m4a	५१ ॥ ॐ श्रीं क्रीं हूँ च स्मेरास्या ॐ श्रीं स्मरविवद्धिनी
844424932814588-643-f.m4a	यदि विदितं स नरः स्वकमोहं तरति शिवं विशति प्रियरूपम् ॥
844424932855748-643-f.m4a	सद्यः काले श्री मुरुघराजेन्द्रस्वामी मल्लाडिहळ्ळि वर्तमानानां सर्वसङ्घटनानां दायित्वं स्वीकृत्य प्रचालयन् अस्ति
844424932441669-953-f.m4a	११८८ ॥ वियोगे सम्मतां मां च योऽकरोत् सोऽपि सत्तमः
844424932440597-953-f.m4a	यं नयन्ति न वैरूप्यं तस्य नष्टं मनो विदुः ॥
844424932845164-643-f.m4a	अस्मिन् वसतिगृहे केरळभोजनव्यवस्था अस्ति सर्वविधव्यञ्जनानां आस्वादस्य अवकाशः अस्ति
844424932174134-953-f.m4a	८ ॥ चण्डिकाष्टकं त्विदं दिवागमे सुरालये यो नरः समाहितः पठेत्सदा मुदान्वितः
844424932775023-643-f.m4a	८ ॥ स्फटिक मणिमय कन्दर्प दर्पण सन्देह सन्दोहि सकल जन सम्मोहि फलफलविमललावण्य ललित सततमुदित मुदितमुखमण्डले ॥
844424932903969-1070-f.m4a	२० ॥ औदन्वते महति सद्मनि भासमाने श्लाघ्ये च दिव्यसदने तमसः परस्तात्
844424932300887-953-f.m4a	परन्तु अयं प्रेष्ठगुरुपितृविरहः तदीये जीवने अनुपमं परिपाकम् अद्वितीयञ्च जगद्दर्शनमप्यानीतवान्
844424932800092-643-f.m4a	२८ ॥ यो वै रुद्रः स भगवान्यच्च कृष्णं तस्मै वै नमोनमः ॥
844424932849072-643-f.m4a	श्रीमिश्रस्य जीवनं सर्वथा सुजीवनमासीद् व्यक्तित्वञ्च तदीयमतीव वन्द्यं प्रशस्तरं चासीदिति चापि सर्वे विद्वांसो दार्शनिका जानन्ति
844424932944445-639-f.m4a	एतत् क्षेत्रम् प्राचीनम् शैवक्षेत्रमस्ति अगस्त्य महर्षि अत्र स्थितवान्
844424932765479-643-f.m4a	एकस्मिन् क्रीडाकूटे कयाचित् महिलया एतावन्ति स्वर्णपदकानि न प्राप्तानि
844424932396899-1067-f.m4a	९०६ शुभं वा यदि वा पापं द्वेष्यं वा यदि वा प्रियम्
844424932720841-1070-f.m4a	एको निहत्य मुमुदे सहसा जयेन तं राममार्तिहरणं शरणं भजामि ॥
844424932856847-643-f.m4a	शातवाहनराजाः इव अपि कदम्बाः स्वयं धर्ममहारः इति सम्बोधयन्ति स्म
844424932581319-577-f.m4a	तत्र प्रमाभूतेषु प्रत्यक्षादिषु प्रत्याक्षात्मकं यज्ज्ञानं चाक्षुषादिप्रत्यक्षं तत्प्रति व्यापारवदसाधारणं कारणमिन्द्रियं भवति
844424932275681-953-f.m4a	२ ॥ दिव्या घटी नित्यतनुः खनीनां चन्द्रे रुरुः स्याद्यमकण्टकस्य
844424932872802-643-f.m4a	तदनन्तरं रामसुग्रीवौ आसाद्य सीता रावणस्य बन्धने अस्तीति निवेद्य युद्धाय सज्जतां कृतवान्
844424932765435-643-f.m4a	क्षणम् जगत् प्राण निधाय माधवम् पुरः मम प्राण हरः भविष्यसि
844424932137338-953-f.m4a	तत्पुरुषपक्षे तु यश्चौरः पथो व्याप्य तिष्ठति स परिपन्थिक उच्यते
844424932431321-577-f.m4a	दीपादिषु स्ववपुषः परिदृश्यमानां छायां विगाह्य परिमुह्यति किं न बालः ॥
844424932792575-643-f.m4a	शाकल्यः शौनकेन ऋक्प्रातिशाख्ये स्मृतत्वात् तस्य शौनकपुर्वकालवंतता तु निश्चितैव
844424932851976-643-f.m4a	२१ ॥ इत्थं शबरिशैलपतेरिह सुप्रभातं ये मानवाः प्रतिदिनं पठितुं प्रवृत्ताः
844424932406258-1067-f.m4a	हृदब्जे दया यस्य तं देवमन्यं कुमारान्न जाने न जाने न जाने ॥
844424932829327-643-f.m4a	ॐ ह्रां ह्रीं ह्रूं ह्रैं ह्रौं ह्रः क्लीं कृष्णाय गोविन्दाय गोपीजनवल्लभाय नमः स्वाहा
844424932553309-1070-f.m4a	५ ॥ भजन्ति ये यथा देवान् देवा अपि तथैव तान्
844424932991864-1102-f.m4a	भवभयभयकर्ता कोऽपरास्ताक्ष्र्यवाह जय जय दययार्द्र त्राहि नः श्रीनृसिंह ॥
844424932525837-1070-f.m4a	अत्र देव्याः मेखला पतिता आसीत् इति प्रतीतिः अस्ति
844424932771951-643-f.m4a	सानन्दं सदनं सुतास्तु सुधियः कान्ता प्रियालापिनी इच्छापूर्तिधनं स्वयोषिति रतिः स्वाज्ञापराः सेवकाः
844424932882784-643-f.m4a	दूरं याहि कुवाद धर्मवृष ते नेतः परं पङ्गुता दुर्भ्रान्ते भुवनं जहीहि परितो वर्धस्व संसत्सताम्
844424932438401-953-f.m4a	९ ॥ एकं भवन्तमृषयो विदुरद्वितीयं जानामि कार्मुकामहं तु तव द्वितीयम्
844424932385113-1067-f.m4a	मन एव हि स्वप्नं च मन एव सुषुप्तिकम् ॥
844424932581363-577-f.m4a	५ ॥ मुखं मे पातु भीमाख्या स्वाहा रक्षतु नासिकाम्
844424932431338-577-f.m4a	११ ॥ इदं च दक्षिणास्तोत्रं यज्ञकाले च यः पठेत्
844424932795902-643-f.m4a	अस्मिन् प्रत्यभिवादे विषये यद्वाक्यं तस्य टेः प्लुतः स्यात्स चोदात्त इत्यर्थः
844424932743500-643-f.m4a	यथा सामान्यविहितस्य दधिदानस्य विशेषविहितं तक्रदानं बाधकं भवति तथेहापि युक्ताऽमागममेन गुणस्य बाधा
844424932771933-643-f.m4a	८० ॥ पीनोत्तुङ्गस्तनपरिचयो कञ्चुकः पुष्पजालैः पत्रैश्चित्रैर्भवति रसना पल्लवैः शेखरश्रीः
